iter	RMSE
0	56.32905255
1	56.19941324
2	56.05009405
3	55.93033661
4	55.80606878
5	55.69229106
6	55.57032293
7	55.43752847
8	55.3041876
9	55.19631133
10	55.08492086
11	54.97990712
12	54.8754204
13	54.7825051
14	54.68283964
15	54.60162752
16	54.50410176
17	54.41606289
18	54.3327753
19	54.24344286
20	54.16299906
21	54.08713279
22	54.02114372
23	53.95134555
24	53.87612919
25	53.81686664
26	53.73206759
27	53.66140782
28	53.59202206
29	53.5379304
30	53.47705112
31	53.41131513
32	53.34279384
33	53.28846627
34	53.22376541
35	53.16325134
36	53.11047361
37	53.05875007
38	53.00394016
39	52.94956321
40	52.9046072
41	52.86793204
42	52.81669059
43	52.76427393
44	52.71159405
45	52.66775112
46	52.62214776
47	52.57312941
48	52.53826173
49	52.49894222
50	52.45904924
51	52.41250809
52	52.36143115
53	52.31500951
54	52.2647043
55	52.22679845
56	52.18480204
57	52.15278785
58	52.11122094
59	52.0679262
60	52.02800601
61	51.98990538
62	51.94150407
63	51.90908933
64	51.87122182
65	51.83633245
66	51.80439327
67	51.76387817
68	51.72798863
69	51.69428554
70	51.6719065
71	51.63952928
72	51.60794465
73	51.57949112
74	51.54721031
75	51.50914223
76	51.47559777
77	51.4516538
78	51.4239298
79	51.39734492
80	51.37470851
81	51.34790648
82	51.32839409
83	51.29561446
84	51.26577114
85	51.23698033
86	51.20794136
87	51.17367674
88	51.15153364
89	51.12683275
90	51.1044254
91	51.08030536
92	51.04670851
93	51.01920439
94	50.98069208
95	50.95076962
96	50.92178684
97	50.87268339
98	50.85171725
99	50.83254653
