iter	Passed	Remaining
0	266	26352
1	466	22865
2	669	21650
3	894	21475
4	1093	20773
5	1290	20213
6	1491	19817
7	1689	19425
8	1901	19221
9	2102	18919
10	2299	18608
11	2500	18337
12	2703	18092
13	2917	17922
14	3119	17677
15	3319	17426
16	3534	17258
17	3913	17826
18	4290	18289
19	4678	18712
20	5064	19053
21	5423	19229
22	5802	19425
23	6195	19620
24	6591	19775
25	6970	19839
26	7345	19860
27	7733	19886
28	8125	19894
29	8489	19809
30	8873	19750
31	9254	19665
32	9641	19575
33	10011	19435
34	10396	19307
35	10793	19188
36	11144	18975
37	11522	18799
38	11908	18626
39	12239	18359
40	12618	18157
41	12990	17938
42	13360	17710
43	13750	17500
44	14113	17250
45	14478	16996
46	14859	16756
47	15180	16446
48	15370	15998
49	15576	15576
50	15781	15162
51	15973	14744
52	16172	14341
53	16365	13941
54	16578	13564
55	16773	13179
56	16970	12802
57	17165	12430
58	17361	12064
59	17570	11713
60	17761	11356
61	18016	11042
62	18218	10699
63	18457	10382
64	18663	10049
65	18855	9713
66	19051	9383
67	19243	9055
68	19440	8734
69	19651	8421
70	19846	8106
71	20038	7792
72	20234	7483
73	20432	7178
74	20651	6883
75	20847	6583
76	21042	6285
77	21232	5988
78	21422	5694
79	21614	5403
80	21819	5118
81	22009	4831
82	22201	4547
83	22396	4265
84	22593	3987
85	22805	3712
86	22996	3436
87	23192	3162
88	23378	2889
89	23568	2618
90	23779	2351
91	23967	2084
92	24169	1819
93	24367	1555
94	24563	1292
95	24759	1031
96	24954	771
97	25167	513
98	25551	258
99	25875	0
